,country,event,name,dist_km,year,finishers,duration
351,GBR,101897,North Chilterns 50km,50.0,2024,169,0 days 03:52:18.333333333
318,FRA,101562,La Diagonale des Yvelines 106km,103.0,2025,169,0 days 08:35:08.750000
924,SWE,104687,Silverleden Ultra,64.0,2024,169,0 days 05:18:37.750000
1240,SLO,107408,Ultra Trail Vipava Valley 100 Centurion,110.0,2024,169,0 days 12:26:42.500000
850,FRA,104417,Trail du Galibier,52.0,2024,168,0 days 05:48:22.250000
848,FRA,104415,Cenis Tour Trail - Trail Rouge,63.0,2024,168,0 days 06:51:45.750000
657,FRA,103780,Ultra Traversée du Pilat - Traversée des Chirats,80.0,2024,168,0 days 08:07:06.500000
1427,HUN,108817,Ultra Tisza-tó 65km,65.0,2024,168,0 days 04:46:13.250000
143,FRA,99443,Nord Trail Monts de Flandres - 115km,115.0,2025,168,0 days 10:34:32
1468,ITA,109533,Ultra Trail Cervino Matterhorn,55.0,2024,168,0 days 06:28:27.333333333
651,NED,103725,Indian Summer Ultra 50 km,50.0,2024,166,0 days 03:46:41
1532,SLO,109926,Obala Ultra Trail 65km,65.0,2024,166,0 days 05:38:49.500000
1421,ITA,108688,LTH La Thuile Ultra Trail,70.0,2024,165,0 days 08:35:38.500000
81,GBR,98279,The CANUM - Canal Ultra Marathon,64.3736,2025,165,0 days 05:39:00
1367,NED,108289,Leenderbos Ultra Trail,50.0,2025,165,0 days 03:58:42.666666666
442,EST,102334,Taliharja Vanakuri Winter Ultra Endurance Race - 55km,55.0,2025,165,0 days 05:39:38.500000
1369,GBR,108308,Tittesworth 50k Ultra,49.0,2024,164,0 days 04:26:29.333333333
